
Training model with 1 iterations...
Epoch [1/15], Batch [0/1875], Loss: 0.1551
Epoch [1/15], Batch [100/1875], Loss: 0.0225
Epoch [1/15], Batch [200/1875], Loss: 0.0121
Epoch [1/15], Batch [300/1875], Loss: 0.0106
Epoch [1/15], Batch [400/1875], Loss: 0.0073
Epoch [1/15], Batch [500/1875], Loss: 0.0077
Epoch [1/15], Batch [600/1875], Loss: 0.0057
Epoch [1/15], Batch [700/1875], Loss: 0.0054
Epoch [1/15], Batch [800/1875], Loss: 0.0065
Epoch [1/15], Batch [900/1875], Loss: 0.0050
Epoch [1/15], Batch [1000/1875], Loss: 0.0030
Epoch [1/15], Batch [1100/1875], Loss: 0.0030
Epoch [1/15], Batch [1200/1875], Loss: 0.0037
Epoch [1/15], Batch [1300/1875], Loss: 0.0044
Epoch [1/15], Batch [1400/1875], Loss: 0.0033
Epoch [1/15], Batch [1500/1875], Loss: 0.0029
Epoch [1/15], Batch [1600/1875], Loss: 0.0030
Epoch [1/15], Batch [1700/1875], Loss: 0.0030
Epoch [1/15], Batch [1800/1875], Loss: 0.0029
Epoch [1/15], Loss: 0.0078
Epoch [2/15], Batch [0/1875], Loss: 0.0018
Epoch [2/15], Batch [100/1875], Loss: 0.0044
Epoch [2/15], Batch [200/1875], Loss: 0.0019
Epoch [2/15], Batch [300/1875], Loss: 0.0015
Epoch [2/15], Batch [400/1875], Loss: 0.0017
Epoch [2/15], Batch [500/1875], Loss: 0.0018
Epoch [2/15], Batch [600/1875], Loss: 0.0033
Epoch [2/15], Batch [700/1875], Loss: 0.0022
Epoch [2/15], Batch [800/1875], Loss: 0.0023
Epoch [2/15], Batch [900/1875], Loss: 0.0035
Epoch [2/15], Batch [1000/1875], Loss: 0.0026
Epoch [2/15], Batch [1100/1875], Loss: 0.0020
Epoch [2/15], Batch [1200/1875], Loss: 0.0025
Epoch [2/15], Batch [1300/1875], Loss: 0.0017
Epoch [2/15], Batch [1400/1875], Loss: 0.0034
Epoch [2/15], Batch [1500/1875], Loss: 0.0015
Epoch [2/15], Batch [1600/1875], Loss: 0.0008
Epoch [2/15], Batch [1700/1875], Loss: 0.0027
Epoch [2/15], Batch [1800/1875], Loss: 0.0045
Epoch [2/15], Loss: 0.0023
Epoch [3/15], Batch [0/1875], Loss: 0.0009
Epoch [3/15], Batch [100/1875], Loss: 0.0020
Epoch [3/15], Batch [200/1875], Loss: 0.0019
Epoch [3/15], Batch [300/1875], Loss: 0.0024
Epoch [3/15], Batch [400/1875], Loss: 0.0029
Epoch [3/15], Batch [500/1875], Loss: 0.0019
Epoch [3/15], Batch [600/1875], Loss: 0.0015
Epoch [3/15], Batch [700/1875], Loss: 0.0009
Epoch [3/15], Batch [800/1875], Loss: 0.0020
Epoch [3/15], Batch [900/1875], Loss: 0.0026
Epoch [3/15], Batch [1000/1875], Loss: 0.0024
Epoch [3/15], Batch [1100/1875], Loss: 0.0023
Epoch [3/15], Batch [1200/1875], Loss: 0.0039
Epoch [3/15], Batch [1300/1875], Loss: 0.0033
Epoch [3/15], Batch [1400/1875], Loss: 0.0009
Epoch [3/15], Batch [1500/1875], Loss: 0.0025
Epoch [3/15], Batch [1600/1875], Loss: 0.0034
Epoch [3/15], Batch [1700/1875], Loss: 0.0025
Epoch [3/15], Batch [1800/1875], Loss: 0.0020
Epoch [3/15], Loss: 0.0020
Epoch [4/15], Batch [0/1875], Loss: 0.0009
Epoch [4/15], Batch [100/1875], Loss: 0.0017
Epoch [4/15], Batch [200/1875], Loss: 0.0008
Epoch [4/15], Batch [300/1875], Loss: 0.0009
Epoch [4/15], Batch [400/1875], Loss: 0.0022
Epoch [4/15], Batch [500/1875], Loss: 0.0009
Epoch [4/15], Batch [600/1875], Loss: 0.0020
Epoch [4/15], Batch [700/1875], Loss: 0.0029
Epoch [4/15], Batch [800/1875], Loss: 0.0012
Epoch [4/15], Batch [900/1875], Loss: 0.0013
Epoch [4/15], Batch [1000/1875], Loss: 0.0009
Epoch [4/15], Batch [1100/1875], Loss: 0.0019
Epoch [4/15], Batch [1200/1875], Loss: 0.0037
Epoch [4/15], Batch [1300/1875], Loss: 0.0008
Epoch [4/15], Batch [1400/1875], Loss: 0.0011
Epoch [4/15], Batch [1500/1875], Loss: 0.0025
Epoch [4/15], Batch [1600/1875], Loss: 0.0034
Epoch [4/15], Batch [1700/1875], Loss: 0.0016
Epoch [4/15], Batch [1800/1875], Loss: 0.0009
Epoch [4/15], Loss: 0.0020
Epoch [5/15], Batch [0/1875], Loss: 0.0024
Epoch [5/15], Batch [100/1875], Loss: 0.0012
Epoch [5/15], Batch [200/1875], Loss: 0.0007
Epoch [5/15], Batch [300/1875], Loss: 0.0027
Epoch [5/15], Batch [400/1875], Loss: 0.0017
Epoch [5/15], Batch [500/1875], Loss: 0.0009
Epoch [5/15], Batch [600/1875], Loss: 0.0024
Epoch [5/15], Batch [700/1875], Loss: 0.0080
Epoch [5/15], Batch [800/1875], Loss: 0.0007
Epoch [5/15], Batch [900/1875], Loss: 0.0016
Epoch [5/15], Batch [1000/1875], Loss: 0.0006
Epoch [5/15], Batch [1100/1875], Loss: 0.0030
Epoch [5/15], Batch [1200/1875], Loss: 0.0029
Epoch [5/15], Batch [1300/1875], Loss: 0.0017
Epoch [5/15], Batch [1400/1875], Loss: 0.0032
Epoch [5/15], Batch [1500/1875], Loss: 0.0020
Epoch [5/15], Batch [1600/1875], Loss: 0.0011
Epoch [5/15], Batch [1700/1875], Loss: 0.0016
Epoch [5/15], Batch [1800/1875], Loss: 0.0032
Epoch [5/15], Loss: 0.0019
Epoch [6/15], Batch [0/1875], Loss: 0.0007
Epoch [6/15], Batch [100/1875], Loss: 0.0030
Epoch [6/15], Batch [200/1875], Loss: 0.0019
